제목,작성자,작성일,URL,본문,댓글데이터,댓글개수
영어 2등급 인강 뭐 들어야 할까요,곰돌텽,2025-09-27 19:20:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29013510?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=10,"영어 성적이 6모 기준 1, 9모 기준 2인 고3 학생입니다성적이 불안정해서 영어 인강 들으려 하는데 (목표 1등급)1. 명학T 리드앤로직 (빈칸완성, 순서삽입) 2. 영수T 더라오 the last opportunity 3. 명학T 그럼에도 불구하고 (파이널 강좌)중에 뭐 듣는 게 좋을까요 경험 기반 추천 부탁드립니다...!아니면 다른 강의 추천도 괜찮습니다",[작성자:wwwwsssss|내용:2등급 정도 나오시면 저는 파이널 강의 추천드려요|날짜:2025.09.27. 20:40] || [작성자:wwwwsssss|내용:2등급 정도 나오시면 저는 파이널 강의 추천드려요|날짜:2025.09.27. 20:40] || [작성자:wwwwsssss|내용:2등급 정도 나오시면 저는 파이널 강의 추천드려요|날짜:2025.09.27. 20:40] || [작성자:wwwwsssss|내용:2등급 정도 나오시면 저는 파이널 강의 추천드려요|날짜:2025.09.27. 20:40] || [작성자:unknown|내용:2025.09.27. 20:40답글쓰기1|날짜:2025.09.27. 20:40] || [작성자:unknown|내용:2025.09.27. 20:40답글쓰기|날짜:2025.09.27. 20:40],6
일반 정시 의대가 슬픈 이유,해와별과달,2025-09-27 18:18:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29013462?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=10,실력이 아무리 출중해도 결국 수능날 운이 따라줘서 실수없이 그 실력이 나와야한다​아무리 실수여도 매체를 틀렷건 1번을 틀렷건 아무도 알아주지않고 점수로 결국 증명하지못하면 실패한다​아무리 천재도 그래서 재수하기도하는듯,[작성자:600D|내용:입시에서 운도 어느 정도는 작용하는 것 같네요|날짜:2025.09.27. 19:51] || [작성자:600D|내용:입시에서 운도 어느 정도는 작용하는 것 같네요|날짜:2025.09.27. 19:51] || [작성자:600D|내용:입시에서 운도 어느 정도는 작용하는 것 같네요|날짜:2025.09.27. 19:51] || [작성자:600D|내용:입시에서 운도 어느 정도는 작용하는 것 같네요|날짜:2025.09.27. 19:51] || [작성자:unknown|내용:2025.09.27. 19:51답글쓰기0|날짜:2025.09.27. 19:51] || [작성자:unknown|내용:2025.09.27. 19:51답글쓰기|날짜:2025.09.27. 19:51],6
고2 지구과학 앞으로 뭐 하면 될까요?,애런저지,2025-09-27 17:18:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29013407?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=10,"현재 매개완,매기분은 끝냈고 고2 모고는 1등급 뜨고 평가원은 2초반~2후반이 나옵니다.아직 기출이 완전히 된것같지는 않아서 기출+스개완으로 개념복습하고 심화개념+n제를 할 생각인데 괜찮나요?괜찮다면 기출회독 이후에 유자분+폴라리스 할것같은데 더 나은 심화개념 인강이랑 n제 있으면 추천 좀 해주세요 ㅠㅠ그리고 기출문제집은 다시 오지훈 선생님꺼를 사서 풀까요 아님 자이나 마더텅을 풀까요?​",댓글없음,0
지구 실모 난이도 좀 알려주세요,rhdclf,2025-09-27 14:55:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29013298?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=10,"지구 공부하면서 감 유지용으로 실모 하나씩 풀고 싶은데 난이도를 잘모르겠어요 아직은 어려운거 풀어봤자 역효과라고 생각해서요강k,오지훈,이훈식,시대인재브릿지,서바이벌 등등 쉬운건 뭐고 어려운거는 뭔가요? 부탁드립니다ㅜ!!",[작성자:과거의 나에게 미안해|내용:저 시대 서바이벌 응시 했었는데 수능보다 어려움|날짜:2025.09.27. 15:08] || [작성자:과거의 나에게 미안해|내용:저 시대 서바이벌 응시 했었는데 수능보다 어려움|날짜:2025.09.27. 15:08] || [작성자:과거의 나에게 미안해|내용:저 시대 서바이벌 응시 했었는데 수능보다 어려움|날짜:2025.09.27. 15:08] || [작성자:과거의 나에게 미안해|내용:저 시대 서바이벌 응시 했었는데 수능보다 어려움|날짜:2025.09.27. 15:08] || [작성자:unknown|내용:2025.09.27. 15:08답글쓰기|날짜:2025.09.27. 15:08] || [작성자:unknown|내용:2025.09.27. 15:08답글쓰기|날짜:2025.09.27. 15:08],6
혹시 이유없이 몇달동안 기침 나셔본분잇나요..?,iwantmath1grade,2025-09-27 13:38:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29013236?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=10,진짜 몇달동안 기침이나요..근데 기침이 계속나는거도 아니고 몇시간에 한번씩 갑자기 목 엄청 간지러우면서 마른기침이나요 이유를 진짜 모르겟어요,"[작성자:찬란한고딩시절|내용:기관지 염증 오래가는 경우 있어요. 저도 6개월동안  고생하다가.. 어디 작은병원에서 엑스레이 찍고, 무슨 물약 받아 먹었는데.. 다음날 바로 나았습니다. 너무 황당했던 기억.. 오래가면 그냥 두지 마시고 병원 옮기더래도 고치세요.|날짜:2025.09.27. 13:42] || [작성자:찬란한고딩시절|내용:기관지 염증 오래가는 경우 있어요. 저도 6개월동안  고생하다가.. 어디 작은병원에서 엑스레이 찍고, 무슨 물약 받아 먹었는데.. 다음날 바로 나았습니다. 너무 황당했던 기억.. 오래가면 그냥 두지 마시고 병원 옮기더래도 고치세요.|날짜:2025.09.27. 13:42] || [작성자:찬란한고딩시절|내용:기관지 염증 오래가는 경우 있어요. 저도 6개월동안  고생하다가.. 어디 작은병원에서 엑스레이 찍고, 무슨 물약 받아 먹었는데.. 다음날 바로 나았습니다. 너무 황당했던 기억.. 오래가면 그냥 두지 마시고 병원 옮기더래도 고치세요.|날짜:2025.09.27. 13:42] || [작성자:찬란한고딩시절|내용:기관지 염증 오래가는 경우 있어요. 저도 6개월동안  고생하다가.. 어디 작은병원에서 엑스레이 찍고, 무슨 물약 받아 먹었는데.. 다음날 바로 나았습니다. 너무 황당했던 기억.. 오래가면 그냥 두지 마시고 병원 옮기더래도 고치세요.|날짜:2025.09.27. 13:42] || [작성자:unknown|내용:2025.09.27. 13:42답글쓰기0|날짜:2025.09.27. 13:42] || [작성자:unknown|내용:2025.09.27. 13:42답글쓰기|날짜:2025.09.27. 13:42]",6
현우진쌤 강의 질문할때,밍태주,2025-09-27 12:16:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29013166?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=10,교재 안 사면 답변 안 해주나요? 다른 교재는 샀는데 해당 강의의 교재는 안 사면 답 안 해주나요?,[작성자:과거의 나에게 미안해|내용:강사마다 다릅니다만 현우진은 그렇습니다  ..|날짜:2025.09.27. 17:22] || [작성자:과거의 나에게 미안해|내용:강사마다 다릅니다만 현우진은 그렇습니다  ..|날짜:2025.09.27. 17:22] || [작성자:과거의 나에게 미안해|내용:강사마다 다릅니다만 현우진은 그렇습니다  ..|날짜:2025.09.27. 17:22] || [작성자:과거의 나에게 미안해|내용:강사마다 다릅니다만 현우진은 그렇습니다  ..|날짜:2025.09.27. 17:22] || [작성자:unknown|내용:2025.09.27. 17:22답글쓰기0|날짜:2025.09.27. 17:22] || [작성자:unknown|내용:2025.09.27. 17:22답글쓰기|날짜:2025.09.27. 17:22],6
생명과학 수능공부 방법,대머리독수ㄹㅣ,2025-09-27 01:35:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29012970?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=10,"현재 고2로 내신대비하면서 백호쌤 섬개완 듣고있는데,고3때 수능으로 생명과학 볼계획입니다 근데 백호쌤 커리는 상크스부터 계속 따라갈생각인데, 기출문제 관련한 강좌가 없는거같아서..따로 마더텅같은 기출문제집 사서 돌리는게 나을까요??",[작성자:에어로스페이스|내용:네~|날짜:2025.09.27. 09:29] || [작성자:에어로스페이스|내용:네~|날짜:2025.09.27. 09:29] || [작성자:에어로스페이스|내용:네~|날짜:2025.09.27. 09:29] || [작성자:에어로스페이스|내용:네~|날짜:2025.09.27. 09:29] || [작성자:unknown|내용:2025.09.27. 09:29답글쓰기0|날짜:2025.09.27. 09:29] || [작성자:unknown|내용:2025.09.27. 09:29답글쓰기|날짜:2025.09.27. 09:29],6
미적분 커리 추천해주세요,제발성대를주세요,2025-09-26 23:23:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29012881?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=10,"미적분 28,30 빼고 다 맞는게 목표인데 기출하고나서 어떤거 추천하시나요?",[작성자:wwwwsssss|내용:시중에 있는 사설 모고 풀이 추천드립니다|날짜:2025.09.26. 23:29] || [작성자:wwwwsssss|내용:시중에 있는 사설 모고 풀이 추천드립니다|날짜:2025.09.26. 23:29] || [작성자:wwwwsssss|내용:시중에 있는 사설 모고 풀이 추천드립니다|날짜:2025.09.26. 23:29] || [작성자:wwwwsssss|내용:시중에 있는 사설 모고 풀이 추천드립니다|날짜:2025.09.26. 23:29] || [작성자:unknown|내용:2025.09.26. 23:29답글쓰기1|날짜:2025.09.26. 23:29] || [작성자:unknown|내용:2025.09.26. 23:29답글쓰기|날짜:2025.09.26. 23:29],6
수직주 인강 업로드 일정,IllllIllIIIlIllI,2025-09-26 22:18:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29012834?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=10,이미지 수직주 인강 언제부터 업로드 되나요?,댓글없음,0
"9월 더프, 전대 9월 실모 기록",과정의승리,2025-09-26 20:36:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29012760?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=10,전대는 표본이 적지만 어려웠던 시험.더프는 컨디션이 바닥이라 좀 실수가 있었다.수학이 아쉽고 물리는 넘 못본 시험.이제 48일 남았네. 컨디션 관리와 과목별 정리 잘 해나가야겠다.​,댓글없음,0
세지 이알기 막 끝냈는데 뭐 해야하나요..,meoweom,2025-09-26 16:45:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29012590?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=10,수특정리나 파이널 들어야 할거같은데 뭐 해야하죠...시간이 없어서 한두강좌만 하려고요,댓글없음,0
면접볼때 이름 얘기하면 안되나요?,소풍놀이,2025-09-26 16:16:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29012553?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=10,가천대 면접볼수도있어서 연습하고 있는데 면접장에 들어가서 자기소개할때이름얘기하면 안되는건가요?얘기하지말라는 사람들이 있어서 여줘봅니다. 혹시 선배님중에 면접보신분들 이야기 해주셨으면 감사하겠습니다.,[작성자:LLLllliiiLLLiiilllil|내용:당연히 안되죠. 학교 등등 인적사항관련된것도 말하면 실격입니다. 주의사항 있을껄요. 다 블라인드테스트라 조심하셔야 해요. 수험번호로 인사하는건 가능해요. 근데 수험번호도 면접장에서 랜덤으로 다시 배부될꺼에요.|날짜:2025.09.26. 16:18] || [작성자:LLLllliiiLLLiiilllil|내용:당연히 안되죠. 학교 등등 인적사항관련된것도 말하면 실격입니다. 주의사항 있을껄요. 다 블라인드테스트라 조심하셔야 해요. 수험번호로 인사하는건 가능해요. 근데 수험번호도 면접장에서 랜덤으로 다시 배부될꺼에요.|날짜:2025.09.26. 16:18] || [작성자:LLLllliiiLLLiiilllil|내용:당연히 안되죠. 학교 등등 인적사항관련된것도 말하면 실격입니다. 주의사항 있을껄요. 다 블라인드테스트라 조심하셔야 해요. 수험번호로 인사하는건 가능해요. 근데 수험번호도 면접장에서 랜덤으로 다시 배부될꺼에요.|날짜:2025.09.26. 16:18] || [작성자:LLLllliiiLLLiiilllil|내용:당연히 안되죠. 학교 등등 인적사항관련된것도 말하면 실격입니다. 주의사항 있을껄요. 다 블라인드테스트라 조심하셔야 해요. 수험번호로 인사하는건 가능해요. 근데 수험번호도 면접장에서 랜덤으로 다시 배부될꺼에요.|날짜:2025.09.26. 16:18] || [작성자:unknown|내용:2025.09.26. 16:18답글쓰기0|날짜:2025.09.26. 16:18] || [작성자:unknown|내용:2025.09.26. 16:18답글쓰기|날짜:2025.09.26. 16:18],6
동국대 듀이카 지원할까 하는데.. 물어볼 곳이 없네요,illiliillililililiil,2025-09-26 14:18:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29012465?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=10,"안녕하세요. 저는 일반고 3학년에 재학 중인 학생입니다.내신, 모의고사 성적이 모두 5등급으로우리가 흔히 아는 좋은 대학교에는 갈 수가 없습니다.선생님이 말씀해주신대로 점수에 맞춰서 지방 대학교를 갈까 했는데제가 가고 싶지 않은 대학, 배우고 싶지 않은 전공을 잘 이겨낼 수 있을까 의구심이 들더라구요.제나름대로 또다른 길을 찾기 위해 인터넷을 검색했고학점은행제라는 곳을 알게 되었습니다. 학점은행제도 온라인, 오프라인이 있는데 저는 그중에서도동국대에서 운영하는 기관이 괜찮은 것 같아서 지원을 고려하고 있거든요.어차피 편입을 할거라서 듀이카라는 타이틀이 문제 되지는 않은데친구들이 가지 않는 길이기 그 길이 괜찮을지가 가장 큰 고민이에요. 블로그, 홈페이지 보면 성공 케이스도 꽤 많은데 솔직히 그게 제 케이스가 아니면 아무런 소용이 없잖아요?혹시 알고 계신 분들은 댓글 좀 부탁드려요.","[작성자:에어로스페이스|내용:저도 잘은 모르지만 저희 학교(서울 평반고)에 듀이카 쪽에서 오셔서 홍보하셨는데 이후에 선생님들이 6,7등급 아니면 굳이 가지 말라 하시더라고요 ㅠㅠ|날짜:2025.09.26. 14:28] || [작성자:에어로스페이스|내용:저도 잘은 모르지만 저희 학교(서울 평반고)에 듀이카 쪽에서 오셔서 홍보하셨는데 이후에 선생님들이 6,7등급 아니면 굳이 가지 말라 하시더라고요 ㅠㅠ|날짜:2025.09.26. 14:28] || [작성자:unknown|내용:저도 잘은 모르지만 저희 학교(서울 평반고)에 듀이카 쪽에서 오셔서 홍보하셨는데 이후에 선생님들이 6,7등급 아니면 굳이 가지 말라 하시더라고요 ㅠㅠ|날짜:unknown] || [작성자:에어로스페이스|내용:저도 잘은 모르지만 저희 학교(서울 평반고)에 듀이카 쪽에서 오셔서 홍보하셨는데 이후에 선생님들이 6,7등급 아니면 굳이 가지 말라 하시더라고요 ㅠㅠ|날짜:2025.09.26. 14:28] || [작성자:에어로스페이스|내용:저도 잘은 모르지만 저희 학교(서울 평반고)에 듀이카 쪽에서 오셔서 홍보하셨는데 이후에 선생님들이 6,7등급 아니면 굳이 가지 말라 하시더라고요 ㅠㅠ|날짜:2025.09.26. 14:28] || [작성자:unknown|내용:저도 잘은 모르지만 저희 학교(서울 평반고)에 듀이카 쪽에서 오셔서 홍보하셨는데 이후에 선생님들이 6,7등급 아니면 굳이 가지 말라 하시더라고요 ㅠㅠ|날짜:unknown] || [작성자:unknown|내용:2025.09.26. 14:28답글쓰기0|날짜:2025.09.26. 14:28] || [작성자:unknown|내용:2025.09.26. 14:28답글쓰기|날짜:2025.09.26. 14:28]",8
수능전면접준비,해피한Seo맘,2025-09-26 14:04:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29012451?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=10,종합전형을 쓰면서 수능전 면접이 잡혀있는 학교들이라 면접학원 알아보고등록했는데 ...수능후 면접이 많다보니 다들 그렇게 말씀하시는건지...왜 수능공부안하고 면접준비를 하냐고 하니 답답하네요ㅡㅜ수능전 면접이 따로 시간들일만큼은 아니어서 그런걸까요?수능이 뛰어나지도않아서 수시면접이 중요한것같은데 모가 맞는건지 답답합니다ㅜㅜ,[작성자:에어로스페이스|내용:수능 자신 없으시면 최저 맞출 과목(2합n이면 3과목정도)만 공부하고 면접 준비해도 되죠|날짜:2025.09.26. 14:08] || [작성자:에어로스페이스|내용:수능 자신 없으시면 최저 맞출 과목(2합n이면 3과목정도)만 공부하고 면접 준비해도 되죠|날짜:2025.09.26. 14:08] || [작성자:에어로스페이스|내용:수능 자신 없으시면 최저 맞출 과목(2합n이면 3과목정도)만 공부하고 면접 준비해도 되죠|날짜:2025.09.26. 14:08] || [작성자:에어로스페이스|내용:수능 자신 없으시면 최저 맞출 과목(2합n이면 3과목정도)만 공부하고 면접 준비해도 되죠|날짜:2025.09.26. 14:08] || [작성자:unknown|내용:2025.09.26. 14:08답글쓰기0|날짜:2025.09.26. 14:08] || [작성자:unknown|내용:2025.09.26. 14:08답글쓰기|날짜:2025.09.26. 14:08],6
원기둥 문제 하나 질문해요 ㅜㅜ,아이스돌체라떼,2025-09-26 12:33:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29012385?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=10,다음과 같은 그림에서 휴지 전체 길이가 10m일때 ​휴지 한장의 두께는 어떻게 구하나요?​​​,"[작성자:다이메틸케톤|내용:휴지가 몇겹이냐에 따라서 다르지 않을까요..어디 메이커냐도 문제고, 어떤 펄프를 사용했는지도 중요합니다.|날짜:2025.09.26. 13:36] || [작성자:다이메틸케톤|내용:휴지가 몇겹이냐에 따라서 다르지 않을까요..어디 메이커냐도 문제고, 어떤 펄프를 사용했는지도 중요합니다.|날짜:2025.09.26. 13:36] || [작성자:다이메틸케톤|내용:휴지가 몇겹이냐에 따라서 다르지 않을까요..어디 메이커냐도 문제고, 어떤 펄프를 사용했는지도 중요합니다.|날짜:2025.09.26. 13:36] || [작성자:다이메틸케톤|내용:휴지가 몇겹이냐에 따라서 다르지 않을까요..어디 메이커냐도 문제고, 어떤 펄프를 사용했는지도 중요합니다.|날짜:2025.09.26. 13:36] || [작성자:unknown|내용:2025.09.26. 13:36답글쓰기0|날짜:2025.09.26. 13:36] || [작성자:unknown|내용:2025.09.26. 13:36답글쓰기|날짜:2025.09.26. 13:36]",6
정시 농어촌 백분위 88이면 어디갈 수 있나요?,857dwa,2025-09-26 08:35:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29012237?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=10,화작 미적 영어 물리 지구 쳐서 23331 입니다ㅏ 중경외시 이상 가능 한가요/? 안되나요?,[작성자:더브릭|내용:우리애도 이정도인데 중경외시 가능하면 좋겠네요.|날짜:2025.09.26. 08:49] || [작성자:더브릭|내용:우리애도 이정도인데 중경외시 가능하면 좋겠네요.|날짜:2025.09.26. 08:49] || [작성자:더브릭|내용:우리애도 이정도인데 중경외시 가능하면 좋겠네요.|날짜:2025.09.26. 08:49] || [작성자:더브릭|내용:우리애도 이정도인데 중경외시 가능하면 좋겠네요.|날짜:2025.09.26. 08:49] || [작성자:unknown|내용:2025.09.26. 08:49답글쓰기0|날짜:2025.09.26. 08:49] || [작성자:unknown|내용:2025.09.26. 08:49답글쓰기|날짜:2025.09.26. 08:49],6
진지하게 ㅈ반고 정시로 돌릴까요,님은 1004,2025-09-26 03:49:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29012193?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=10,경기권 거주 중이고 ㅈ반고 여고 다니는 중인데 2학년 중간고사를 앞둔 지금까지 공부 제대로 해본 적 없고 놀기만 했습니다 모고 한 번도 각 잡고 쳐본적 없고 모고 시간에 잠만 잤어요.... 얼마나 ㅈ반고냐면 시험 하루 전에도 점심 시간에 떠들고 노는정도..? 그나마 수학은 3등급 아래로 떨어져 본 적 없는데 모고가 아예 노베이스입니다 현재 내신 평균 5.6이고 목표가 1지망이 경희대 간호 2지망 중앙대 간호 3지망 인하대 간호 인데 이정도 목표면 깔끔하게 내신 버리고 지금부터 정시 공부 하면 가망 있을까요? 수능 과목 생명 사문생각하고 있습니다 2합 6을 못맞춰서 대학 떨어지는 학굔데 저 할 수 있을까요 ㅠㅠ 지잡대는 죽어도 가기 싫어요 쓴소리랑 현실적인 조언 부탁드립니다 수능 마지막 세대라 너무 무서워서요 ㅠㅠ,[작성자:와먀|내용:내신이 그정도면 깔끔하게 포기하고 정시 돌리는게 낫겠네요. 근데 정시 진짜 쉽지않습니다 특히 현역은.. 마음 단단히 먹으세요|날짜:2025.09.26. 03:56] || [작성자:와먀|내용:내신이 그정도면 깔끔하게 포기하고 정시 돌리는게 낫겠네요. 근데 정시 진짜 쉽지않습니다 특히 현역은.. 마음 단단히 먹으세요|날짜:2025.09.26. 03:56] || [작성자:와먀|내용:내신이 그정도면 깔끔하게 포기하고 정시 돌리는게 낫겠네요. 근데 정시 진짜 쉽지않습니다 특히 현역은.. 마음 단단히 먹으세요|날짜:2025.09.26. 03:56] || [작성자:와먀|내용:내신이 그정도면 깔끔하게 포기하고 정시 돌리는게 낫겠네요. 근데 정시 진짜 쉽지않습니다 특히 현역은.. 마음 단단히 먹으세요|날짜:2025.09.26. 03:56] || [작성자:unknown|내용:2025.09.26. 03:56답글쓰기1|날짜:2025.09.26. 03:56] || [작성자:unknown|내용:2025.09.26. 03:56답글쓰기|날짜:2025.09.26. 03:56],6
국어 연계 버리는건 멍청한 선택인가요?,aiuuyui,2025-09-26 03:10:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29012189?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=10,"수특 독서는 포기했고 문학은 반 조금 넘게 남았습니다. 수완은 전혀 안했습니다. 강e분으로 어찌저찌 하고 있는데 생각보다 되게 오래 걸리네요… 짬짬히 시간 내서 하는걸로는 수특, 수완 다 못 끝낼 것 같은데 수특만 끝내고 수완 유기하는건 좀 바보같은 선택일까요? 아니면 연계에 하루 2-3시간씩 쓰는게 맞을까요? 지금 연계 공부하느라 국어 다른 공부에 손을 못대고 있어서요… 제가 최저때문에 국어 1등급이 꼭 필요한데… 6평9평 연계없이 다 1등급이라서요… 수능은 좀 다르겠죠..?ㅜㅜ 그냥 연계에 시간 갈갈하는게 맞나요 ㅜㅜㅜ",[작성자:야쿠르트아줌마12|내용:아무래도 국어는 연계가 된다는게 확실한 과목이라서… 시간이 없으시다면 국어강사들이 중요하다고 하는 작품이라도 보는걸 추천드려요 연계를 하고 모평을 치니 연계라는게 눈에 확 보여서 좋더라고요|날짜:2025.09.26. 03:26] || [작성자:야쿠르트아줌마12|내용:아무래도 국어는 연계가 된다는게 확실한 과목이라서… 시간이 없으시다면 국어강사들이 중요하다고 하는 작품이라도 보는걸 추천드려요 연계를 하고 모평을 치니 연계라는게 눈에 확 보여서 좋더라고요|날짜:2025.09.26. 03:26] || [작성자:야쿠르트아줌마12|내용:아무래도 국어는 연계가 된다는게 확실한 과목이라서… 시간이 없으시다면 국어강사들이 중요하다고 하는 작품이라도 보는걸 추천드려요 연계를 하고 모평을 치니 연계라는게 눈에 확 보여서 좋더라고요|날짜:2025.09.26. 03:26] || [작성자:야쿠르트아줌마12|내용:아무래도 국어는 연계가 된다는게 확실한 과목이라서… 시간이 없으시다면 국어강사들이 중요하다고 하는 작품이라도 보는걸 추천드려요 연계를 하고 모평을 치니 연계라는게 눈에 확 보여서 좋더라고요|날짜:2025.09.26. 03:26] || [작성자:unknown|내용:2025.09.26. 03:26답글쓰기0|날짜:2025.09.26. 03:26] || [작성자:unknown|내용:2025.09.26. 03:26답글쓰기|날짜:2025.09.26. 03:26],6
수시포기  정시결정,별똥별마님,2025-09-25 23:45:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29012112?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=10,고2수시는 이미 탐구 3.4등급 국어수학 5.6등급 영어는 7등급 ㅋ 오락가락했고모고는 시험본적도 없던아이가 ^^정시준비밖에 선택할수없는지 모고 공부중입니다.요즘 조금 열심히 하더니 9모 수학 2등급 영어 4등급 국어 4등급 나왔는데요10모고도 1.2등급 정도는 올라갈꺼 같아요 겨울방학때 죽어라 국영수를 하고 3학년때 탐구 한국사를 집중하는게 좋은가요?탐구는 그래도 젤재밌어하긴 하는데시작 시기가 국영수가 먼저인지 방학때 탐구까지 같이해야할까요 한국사 공부시기도 궁금해요경험하신분들 조언부탁드립니다,"[작성자:IISTP|내용:한국사는 상식만 있어도 풀수 있는 수준이라 공부를 거의 할 필요가 없을거고, 탐구는 한 과목 정도는 겨울방학에 하는 걸 추천드립니다. 가능하면 두 개 다 하고요..|날짜:2025.09.26. 00:40] || [작성자:IISTP|내용:한국사는 상식만 있어도 풀수 있는 수준이라 공부를 거의 할 필요가 없을거고, 탐구는 한 과목 정도는 겨울방학에 하는 걸 추천드립니다. 가능하면 두 개 다 하고요..|날짜:2025.09.26. 00:40] || [작성자:IISTP|내용:한국사는 상식만 있어도 풀수 있는 수준이라 공부를 거의 할 필요가 없을거고, 탐구는 한 과목 정도는 겨울방학에 하는 걸 추천드립니다. 가능하면 두 개 다 하고요..|날짜:2025.09.26. 00:40] || [작성자:IISTP|내용:한국사는 상식만 있어도 풀수 있는 수준이라 공부를 거의 할 필요가 없을거고, 탐구는 한 과목 정도는 겨울방학에 하는 걸 추천드립니다. 가능하면 두 개 다 하고요..|날짜:2025.09.26. 00:40] || [작성자:unknown|내용:2025.09.26. 00:40답글쓰기|날짜:2025.09.26. 00:40] || [작성자:unknown|내용:2025.09.26. 00:40답글쓰기|날짜:2025.09.26. 00:40]",6
국어실모,lllillilliiiiilllil,2025-09-25 22:29:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29012031?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=10,남은기간동안 이감실모를 풀고싶은데 간쓸개를 포함해서 가격이 넘 부담되더라구요... 그냥 지금이라도 패키지를 구매하는게 좋을까요? 간쓸개는 풀지 않아도 될 것 같아서 모의고사만 구매하고싶은데ㅠ 그리고 어차피 남은기간동안 다 풀지도 못할 거 같고.... 고민되네요,댓글없음,0
수능 확통 공대,yondoo,2025-09-25 19:27:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29011881?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=10,"원래 상경을 목표로 확통하고있었는데 공대에도 눈이 가서 알아보니까 대부분의 인서울 공대 정시 합격자중 확통 비율이 많아봤자 5%, 7% 이고 0%인 학과도 많더라고요..확통선택자가 애초에 공대 지원을 안하는거겠죠? 아니면 공대에서는 암묵적으로 확통선택자는 거르는 관행이 있는 걸까요?","[작성자:알파카|내용:확통 응시자의 지원을 허용하는 대학이라면 확통을 응시했다는 이유로 걸러질 일은 절대 없고, 그냥 확통 지원자가 지원을 잘 안해서 그렇습니다|날짜:2025.09.25. 20:42] || [작성자:알파카|내용:확통 응시자의 지원을 허용하는 대학이라면 확통을 응시했다는 이유로 걸러질 일은 절대 없고, 그냥 확통 지원자가 지원을 잘 안해서 그렇습니다|날짜:2025.09.25. 20:42] || [작성자:알파카|내용:확통 응시자의 지원을 허용하는 대학이라면 확통을 응시했다는 이유로 걸러질 일은 절대 없고, 그냥 확통 지원자가 지원을 잘 안해서 그렇습니다|날짜:2025.09.25. 20:42] || [작성자:알파카|내용:확통 응시자의 지원을 허용하는 대학이라면 확통을 응시했다는 이유로 걸러질 일은 절대 없고, 그냥 확통 지원자가 지원을 잘 안해서 그렇습니다|날짜:2025.09.25. 20:42] || [작성자:unknown|내용:2025.09.25. 20:42답글쓰기0|날짜:2025.09.25. 20:42] || [작성자:unknown|내용:2025.09.25. 20:42답글쓰기|날짜:2025.09.25. 20:42]",6
