제목,URL,본문,댓글개수
지구과학 앞장에서 계속 틀리면 뭐가 문제일까요?,https://cafe.naver.com/f-e/cafes/10197921/articles/29022645?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=6,아이가 지구과학에서 항상 앞장에서만 3개 정도씩 틀려요. 오히려 그 다음쪽부터는 안틀립니다. 과외쌤은 아이가 지구과학을 잘하는 편이라고 하는데 항상 앞에서 계속 틀리니 어찌해야할지 모르겠습니다. 다시 풀면 알겠다고 하는데.. 분명히 그냥 실수는 아닐텐데 뭐가 문제일까요? ㅜㅜ 과외쌤은 문제를 너무 빨리 풀어서 그런거 같다는데 아무래도 그 문제만은 아닌것 같아서요. 문제점과 해결책을 찾아야 수능에서는 안그럴텐데 걱정입니다. 본인만 알 수 있을까요? 본인도 모르는 것 같아서..ㅜㅜ 어떻게 해야할지 몰라 여기에 여쭤봅니다.. 경험 있으신 분들의 도움을 기다립니다..,6
메가 수능 영어 인강 추천,https://cafe.naver.com/f-e/cafes/10197921/articles/29022599?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=6,현재 고2이고 모의고사는 1~2등급 나옵니다.고정 1등급을 만들고 싶은데 어떤 인강을 듣는게 좋은가요?,0
고2 김범준t고민,https://cafe.naver.com/f-e/cafes/10197921/articles/29022511?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=6,수1을 많이 까먹어서 문제를 풀면서 감을 살리려고핮니다 내신할땐 기출문제집 풀엇고 1이떴는데 모고에선 늘 2가떠요 김범준쌤 강의를 듣는다면 어떤강의가좋을까요 수1 문제는 계속 풀다보면 감각이 돌아올거같은데 모고에서 늘 고민인건 어려운 4점 해결이라 지금 고난도 해설강의를 들으면 까먹은게 많아서 힘들지 않을지 차라리 마더텅같은걸 사서 혼자 풀지 고민이됩니다ㅠ,0
현우진 커리 질문,https://cafe.naver.com/f-e/cafes/10197921/articles/29022459?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=6,현재 고2입니다! 지금까지 내신 수학은 1후 2초 모고는 항상 2등급이였습니다. 내년에 수능수학은 현우진 선생님 커리로 갈거 같습니다. 모의고사 공부는 따로 해본적 없고 내신 공부는 문제집을 쎈 고쟁이 마플 등 다양하게 풀었는데 현우진 선생님 시발점 건너뛰고 바로 뉴런 들어도 될까여???,6
전국서바 13회차 등급컷 어느 정도인가요?,https://cafe.naver.com/f-e/cafes/10197921/articles/29022410?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=6,오피셜은 없고 강기원t가 따로 공개하는게 있다던데혹시 아시는 분?,0
홍준용 백호,https://cafe.naver.com/f-e/cafes/10197921/articles/29022369?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=6,생명 작년 수능엔 4등급이었는데 평소에 1~4로 성적 폭이 꽤 컸습니다. 백호를 작년에는 들었는데 홍준용t가 직관의 영향을 덜 받는 풀이를 하신다고 들었습니다. 홍준용 유전이 백호 유전보다 나은가요?,6
수능 최저로 화1vs지1,https://cafe.naver.com/f-e/cafes/10197921/articles/29022343?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=6,화1은 내신으로 하고 지1은 아예 안했어요수능으로 화학 보는거 좀 무리인가요?하도 하지말라는 의견이 많아서 겁나네요 ㅠ 2027 수능 준비하는 고2 입니다,6
영어 단어 암기법과 교재 추천바랍니다.!!,https://cafe.naver.com/f-e/cafes/10197921/articles/29022296?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=6,"고 1입니다. 영어단어 암기하는게 너무 힘들어요 ㅠㅠ 현재 중학교 때 학원 다니면서 워드 마스터 하이퍼 2천을 하긴 했는데 어휘끝블랙이 좀더 심화 단어인가요? 집에 있는 책들이라서요. 워드마스터 반복이 나을까요? 어휘끝 블랙이 나을까요?그리고 영영으로 암기하는게 나은가요? 아니면 단어가 들어았는 문장을 공부하나요? 아니면 그냥 한글뜻만 암기해도 되는지... 자꾸 잊어버려서보통 단어집 보면 한글뜻, 영영뜻, 유사어., 반의어, 문장등등이 있는데 한번에 이걸다봐야하는지... 효율적인 방법을이나 순서를 알려주세요,",6
지구과학 안성진 선생님,https://cafe.naver.com/f-e/cafes/10197921/articles/29022257?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=6,지구과학 안성진 선생님 지구과학 선택하시는 분들께 추천드립니다!필기노트도 개념 내용 따라가기 편하게 만들어 주시고 직접 그린 그림으로 설명해주셔서 이해 하기도 편해요!개념도 진짜 탄탄하게 잡아주시고 심화 문제나 그래프도 실수하지 않게 꼼꼼하게 설명해주셔서 정말 좋아요!,0
지구과학 파이널,https://cafe.naver.com/f-e/cafes/10197921/articles/29022220?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=6,지구과학 파이널 교재?이훈식이 좋나요..오지훈이 좋나요??ㅜㅜ,6
피델리티모의고사 후기,https://cafe.naver.com/f-e/cafes/10197921/articles/29022150?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=6,"좋은 기회로 메리포핀스북스의 영어 실전 모의고사인 피델리티 모의고사를 제공받게 되었습니다제공받고 풀어본 이후에 후기를 작성해야 솔직한 후기가 된다고 생각이 들어 조금 늦게 올리게 되었습니다.​우선 피델리티 모의고사는 공장형으로 대량의 모의고사를 만들어 파는 다른 회사의 실전 모의고사와는 달리 소수의 출제진으로 최고 퀄리티의 모의고사를 자랑합니다. 우선 다른 실전 모의고사들과 달리 떼어지는 부분이 상당히 깔끔한 편이라 첫인상이 굉장히 좋았습니다. 문제 형식이 굉장히 실제 학력평가•모의고사와 유사하였습니다.듣기 파일도 제공되었는데, 굉장히 깔끔했고 실제 시험처럼 안내 방송 등이 자세히 나와있어 몰입감 또한 좋았습니다. 해설지의 일부인데 이처럼 해설지 또한 모의고사 해설지와 형식이 매우 비슷했고, 수능을 대비하는 수험생으로써 이 해설지로 오답을 해 수능형으로 생각하고 문제를 푸는 방법에 대해 더욱 체감하고 체화할 수 있었던 것 같습니다.​​​만약 영어 실전 모의고사를 찾고 계신다면 피델리티 모의고사를 추천드리겠습니다",0
김승리 실전 모의고사 받으면 바로 풀어도 되나요?,https://cafe.naver.com/f-e/cafes/10197921/articles/29022144?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=6,아님 해설영상이 나중에 올라오나요?실모가 부족해서 받으면 바로 풀고 싶은데 해설영상 올라오면 업로드 기다리려고요,6
ETOOS 안성진선생님 추천글,https://cafe.naver.com/f-e/cafes/10197921/articles/29022035?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=6,"안녕하세요~~!이번에 안성진 선생님 인강 추천글로 만나뵙게되네요!!우선적으로 안성진 선생님 인강 커리큘럼은 VEGA 기념/기출, 아스트라 심화기출, INFLATION, HORIZON, SINQULARITY 등등으로 진행되는데 이번에는 INGLATION 커리에 대해서 말해보려고 합니다!!우선적으로 INFLATION는 개념과 기출 그리고 EBS에서 다루는 주요 개념 + 심화개념등을 다지선다 형태로 풀 수 있는 책입니다. 선생님께서 주요선지에 대해 해설을 해주시면서 추가적으로 심층적으로 문제접근 방법이나 비슷한 유형으로 문제가 출제되었을때 풀이 방법, 꼭 기억해야 할 개념등을 알려주셔서 개념을 복기하기도 좋고 심층적으로 문제를 분석하기도 좋아 정말 강추드립니다...!!특히나 중간중간 개념에 대한 영상들도 (예를 들어 사층리가 형성되는 과정을 실험으로 재현한 영상) 중간중간 있어서 헷갈릴만한 것들을 아예 뽝 영상으로 머릿속에 박아주는 느낌이랄까요 ㅎㅎ또한 INFLATION 강의와 함께 SPEED 개념완성 강의를 같이 수강하면 다지선다에 개념정리까지 같이 되서 좋더라고요!!그래서 안성진 선생님 강의를 추천드립니다!! ​",0
물리 모의고사 난이도 질문,https://cafe.naver.com/f-e/cafes/10197921/articles/29022020?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=6,"물리 올해 시대인재랑, 강대K꺼를 풀고 지금은 23년도꺼 강민웅 특난도 파이널을 풀고 있는데 23학년도꺼라 쉬운건가요 아니면 원래 이 모고가 계산이 없고 널널한 편인가요?? 앞에 두개 풀다가 이거 푸니까 시간이 남는거 같은데 계산도 엄청 적고학원에서 왜인지는 모르겠는데 23학년도꺼를 줘서 옛날꺼라 쉬운거겠죠?",6
지구과학1 '비공식 모의고사' 판매 사기?,https://cafe.naver.com/f-e/cafes/10197921/articles/29022018?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=6,"혹시 모를 피해를 막기 위해 글 올립니다.​​판매 사이트 링크를 받았던 글을 못찾아서...이전에 캡쳐했던 사진만 올릴 수밖에 없네요링크 가지신 분은 댓글 부탁드립니다​​​​의심되는 이유​1. 출재진 제대로 소개 되지도 않음​- 문제 퀄리티 검증에 대한 의심이 됨...​​​2. 네이버 판매 링크로만 판매사이트로 연결됨​- 네이버 검색으로 판매사이트 안드러남.(근데 카페글 하나 있네요) 심지어 구글링을 해봄에도 드러나지 않음아무리 유출을 방지한다 하더라도 구글링을 했는데 후기글이나 판매사이트가 드러나지 않는다는게...​​​3. 1000개 한정 판매인데 아직 절반정도만 판매됨​- 작년 수능 20번인가 고난도 문항도 거의 같게 나왔다고 주장하던데, 그런 고급 자료인데도 수능 1달전까지 한정판매 전량이 안나갔다는게...​​​4. 커뮤니티 댓글 및 글을 위주로'만' 광고함​- 3번이랑 엮어서 사기라고 생각되는 부분...위쪽 대치동 마마들이 이런 모의고사를 모를리가 없는데 이 카페를 비롯해 다른 카페를 둘러봐도 후기가 잘 안보임​​​5. 2회밖에 없음에도 비싼 가격​- 오리온, 폴라리스등 여러 모의고사 시리즈를 찾아봐도 2회당 15만원은 커녕 3회당 2만, 4회당 3만 정도의 가격인데 너무 비쌈...아무리 한정판매라 하더라도 사기성이 너무 짙음...​​​​ ​​​제가 모를 수도 있으니 지1 비공개 모의고사 풀어보신 분이나 구매 하신 분 있으면 후기 좀 부탁드리겠습니다...",6
급함)고3인데 자이 수12 고2거 풀음,https://cafe.naver.com/f-e/cafes/10197921/articles/29021984?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=6,가진 게 고2거여서 지금 수1수2 둘다 절반 정도 풀고 있는데요 고3거랑 차이 큰가요? 지금이라도 고3 기출을 다시 사서 볼까요? 그리고 미적은 아직 기출 안했는데 자이할까요 수분감할까요? 수분감이 문제는 적은 거 같고 시간이 많이 없긴한데 감안할 정도면 자이로 해보려고요,6
수험생 역류성 식도염 걸려보신분 있나요?,https://cafe.naver.com/f-e/cafes/10197921/articles/29021969?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=6,어제부터 갑자기 가슴이 답답하고 목구멍에 뭐가 꽉 들어찬거같이 숨이 막히고 헛구역질나올거같은데..찾아보니까 역류성 식도염 같더라구요근데 제가 평소에 과식하지않고 항상 오후 4~5시에 밥먹고 그래서 식습관 때문은 아닌거같고카페인때문인거같은데.. 제가 커피를 많이 마시기 시작한거는 작년부터고 최근까지 꾸준하게 하루에 2~4잔 먹었는데 카페인때문에 이렇게 확 역류성 식도염 생길 수 있나요? 아니면 수능 다가오면서 스트레스랑 등등 여러 요인이 겹쳐진걸까요? 내일 이비인후과 갈건데 약 먹으면 금방 괜찮아지나요?,6
미적 세젤쉬 교재 없이 들어도 되나요?,https://cafe.naver.com/f-e/cafes/10197921/articles/29021963?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=6,교재 살 시간이 없어서…,0
지구과학1 수능특강 중요한가요?,https://cafe.naver.com/f-e/cafes/10197921/articles/29021945?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=6,지구과학1 수능치는데 수능특강 책에 나오는 문제들 수능에 나올 확률 높나여????한번 더 풀지말지 고민중이에오ㅜㅜㅜㅜㅜㅜㅜㅜㅜ,0
수능 지구과학1 질문,https://cafe.naver.com/f-e/cafes/10197921/articles/29021919?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=7,수능 때 지구과학 3~4만 나오면 됩니다수특 수완 마더텅 자이스토리 풀었구오지훈 파이널 듣고 있습니다수능 D-30 쯤엔 다 끝날거같은데 그때부턴 뭘 해야할지 막막해요ㅜㅜ어떤걸 하는개 좋을까요수특을 한번 더 돌릴까요 아니면 사설 N제를 할까요!,6
강대k 국어 어디서 사나요?,https://cafe.naver.com/f-e/cafes/10197921/articles/29021918?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=7,보니까 이감처럼 두각등에서 현강으로 들으면서 받을 수 있는거 같은데.. 두각에 문의하니 마지막 4회정도에 40만원이 훌쩍넘고 대성마이맥도 있길래 보니 20만원대인데 같은 교재 맞나요? 현강과 인강의 차이로 가격 차이가 나는게 맞나요? 아시는 분 답변 좀 ㅎㅎㅎ,0
수능 미적분 5등급컷 예상점수 몇점인가요??,https://cafe.naver.com/f-e/cafes/10197921/articles/29021913?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=7,"작년 수능은 다른년도에 비해 유독 높더라구요..이유가 뭔가요? 또 이번 9모는 39점이였는데요 보통 수능에서는 이 점수보다 얼마나 올라가나요,,?ㅠㅜ 최저 맞춰야하는데 40초라서 간당간당해서요...",6
시대인재 최지욱 추석특강 후기 및 후회,https://cafe.naver.com/f-e/cafes/10197921/articles/29021858?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=7,"앞서 글쓴이의 소개를 하자면 고2 고정 낮은 3등급으로 수학을 시작해 겨울방학부터 5월초까지는 시대인재 강기원,박종민선생님을 라이브로 수강했었고 이후에 한동안 시대인재를 이용하지 않다가 6모 끝나고 추천을 받아서 김성호 선생님 현강을 서바 공통,미적반 두개를 수강하고 9모 이후부터는 공통서바반만 듣게 됐는데 김성호 선생님은 전체적으로 풀이도 깔끔하시고 컨텐츠도 굉장히 뛰어나고 개인 공부에 도움이 많이 되어 만족하며 다니고 있었으나(고3모고점수는 다음과 같다 3,5,6,7,9순서 77,80,84,85,88)​이번 추석을 계기로 이동준 선생님과 최지욱 선생님 추석특강을 접하게 되었는데 이동준 선생님의 수업이 수업 요일상 먼저 시작하여 먼저 들었을 때는 상당히 놀라웠다. 풀이가 많이 체계화 되어 있으며 문제풀이 앞서 진행하시는 실전개념 정리(?) 같은 것이 실전적이고 깔끔해서 좋았고 상당히 만족스러운 강의였다.​하지만 어제 처음으로 최지욱 추석특강이 개강하여 듣게 되었는데 현장강의가 원래 N관을 사용하는 걸로 되었다가 M3관으로 김재훈 선생님의 여름특강 강의실과 동일한 강의실로 변경되었고 앞자리 경쟁이 상당할것 같아서 수업 시작50분전에 강의실에 도착하여 비교적 앞에 앉을 수 있었다. 어제 들은 강의를 한마디로 요약하자면 완벽에 가까운 강의였다. 수업 내용은 기출을 한번모아 정리해야한다고 생각만 하고 있던 것을 직접해주셨고 기출에 연관된 사설 문항들도 들어가있었다. 선생님께서는 여러 관점에서 가장 깔끔한 풀이들을 보여주셨으며 각 문항의 유형들의 중요한 포인트들을 잡아서 매우 잘 설명해주셨고 실전에서 막히면 어떻게 대응해야하는지도 알려주셨다. 이게 말로만 설명이 안돼서 잘 와닿지 않을 수 있을 것 같은데 완벽이라는 단어 외에는 설명이 불가능할 것 같다. 이때까지 현우진,강기원,박종민,김성호,이동준,김범준 선생님들의 수업을 들었지만 단연코 최고라고 할 수 있다.​올해 대학을 갈것 같고 수능 몇일전이지만 수험생활을 돌아보았을 때 다른 후회는 없지만 단 한가지 후회가 있다면 최지욱 선생님을 이제야 알게되었다는 것이다. 겨울방학때부터 들었다면 조금더 빨리 그리고 더 많이 성장하지 않았을까하는 후회를 너무다도 크게 하고 있어 혹시 이글을 읽는 고2가 있다면 최지욱 선생님을 강력추천하고 싶고 만약에 올해 수능에 예상치 못한일로 재수를 하거나 반수를 하게 된다면 무조건 내년에는 최지욱을 들을 것이다.​수능 몇일전이라 글을 적지 않으려 했지만 수험생활에 너무 큰 후회가 되어서 이 글을 읽는 다른 친구들은 후회를 하지 않기 바라며 지하철에서 이동하며 글을 남겨본다.​​",6
엘니뇨 고수들만 ㄱ,https://cafe.naver.com/f-e/cafes/10197921/articles/29021851?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=7,"A 라니냐B 엘니뇨상황입니다.ㄷ. 선지에서 적외선 방출 복사 에너지양과 관련된 질문인데요..적외선 방출 E는 온도와 관련있는 개념이잖아요.온도가 높으면 적외선 방출 E는 크다.라는 사실을 갖고'라니냐 시기:평균적인 동태평양 수온 편차 -, 평균적인 서태평양 수온 편차 +''엘니뇨 시기:평균적인 동태평양 수온 편차 +, 평균적인 서태평양 수온 편차 -' 라고 생각해서 A가 B보다 크다고 생각해서 ㄷ.이 틀린 줄 알았는데 정답은 5번이네요.해설지에는 구름 양과 관련하여 해설되어 있는데, 수온의 영향은 따지지 않아도 되는 건가요?​​",6
수능 한국사,https://cafe.naver.com/f-e/cafes/10197921/articles/29021844?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=7,수능 한 달 남아서 한국사 공부 좀 하려는데 뭐 하면 좋을까요?? 한국사를 고1 내신할 때 이후로 쳐다본적이 없어서 기억이 진짜 하나도 안나요...! 강의도 좋고 문제집도 좋으니까 추천 좀 해주세요ㅠㅠ,6
이 문제 출처좀 알려주세요 제발요 ㅠㅠ,https://cafe.naver.com/f-e/cafes/10197921/articles/29021770?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=7,​,0
과탐 물1/화1 은 모험일까요,https://cafe.naver.com/f-e/cafes/10197921/articles/29021689?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=7,과학 4과목 중에 본인이 좋아하고 잘하는 과목이 물1/화1 입니다.물1/ 화1 이 응시자수나 표점에서 불리하다는 걸 너무나 잘 알고 있는데그럼에도 불구하고 대안이 없어 해야 한다면 어떻게 해야 할까요?의견 주세요ㅜㅜ갓반고라 의대 수시를 넣기는 하겠지만 내신이 1.0x 는 아닙니다.,0
국어 파이널 김승리 강민철,https://cafe.naver.com/f-e/cafes/10197921/articles/29021624?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=7,국어 인강을 들을 필요 없다고 생각해서 듣질 않고 있었는데 일단 지금은 1-2 간당간당인데 불안해서 파이널 강좌를 들어볼까 해서요​커리를 타온게 아닌데 파이널 듣는 경우가 많ㄴ나요?ㅜㅡ만약 이런 상황에 듣게 된다면 강민철 김승리 중에 어떤 쌤 강의를 들으면 좋을까여ㅠ​그리고 이 시점에 들어도 되는게 맞나요…연휴 끝나고 교재가 올텐데…인강에 무지합니다ㅜㅡㅜ​ 무기명 투표 중파이널강민철김승리 투표하기 투표자 보기투표자 0명확인전체 투표자 보기투표자 0명확인,6
영어 유지 문제집 추천해주세요,https://cafe.naver.com/f-e/cafes/10197921/articles/29021587?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=7,현재 고2. 입니다영어 모의고사보면 작년까지는 90 점이 나왔는데올해는 88점이 나와요현재 국어와 수학이 너무 급한 관계로두달간만 영어를 쉬려고 하는데요두달간 최소한의 유지만이라도 할수있게 어떻게 해야할까요?하루 10분간 단어만 외우면 될지풀면 좋을 문제집 추천과 며칠에 한번 풀어야할지조언좀 부탁드려요,6
지구과학 쌤 추천,https://cafe.naver.com/f-e/cafes/10197921/articles/29021447?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=7,안성진 쌤이신데 다른쌤 듣다가 9모해설강의 듣고 처음 입문해서 인플레이션 교재로 공부했는데 설명도 깔끔하시고 심화개념과 개념적용도 자세히 알려주셔서 단기간에 모고에서 안정적인 점수를 받게됐어요.지구과학에서 가장 중요한 4페이지도 지금까지 푼 모고 중 가장 퀄리티 좋은 모의고사로 느껴졌어요. 모두 남은 40일 더 열심히 해서 수능때 목표 점수 받읍시다!,0
사탐런 공부법 알려주세요ㅠㅠ(현 고2),https://cafe.naver.com/f-e/cafes/10197921/articles/29021392?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=7,"안녕하세요 저는 수도권 일반고 이과생입니다 내신은 2학년 때 물화생지 다 들었고(듣고 있고) 인서울 이과 수시로 최저맞춰서 갈 생각입니다 내신은 현재까지 합산 2.1 정도 되고, 고2 9모 성적은 국영수생지 22234입니다 지구(4등급)는 아직 덜 배운 상태였어요 탐구를 생지 할 생각이었는데, 사탐런 하려고요..ㅎㅎ 과목은 사문 생윤 생각 중이에요 고1때 통합사회는 2등급이었고 지금까지 문과 과목 공부할때 크게 힘들진 않았어요!(국어도 괜찮은 편입니답 9모 백분위 6) 그래서 생윤도 난해하다고 하지만 선택해봤습니다 사탐 공부하셨던 분들 공부법 가르쳐 주시면 감사드리겠습니다 저는 2학년 끝나고 겨울방학에 커리 탈 선생님 골라서 개념 3주?->기출 ?주->실모 이런식?? 으로 해야하나 싶긴 한데, 너무 감이 안와요ㅠㅠ 학교에서 아예 안배워서 생노베입니다1. 사문/생윤 인강쌤 추천2. 사탐 공부법과 기간이렇게 자세히 알려주시면 너무너무 감사드리겠습니다ㅜㅜ!!!​+그리고 사탐런 이과생이 간과하고 있을 부분이 있다면 알려주세요,,,ㅎㅎㅠ",4
한국사,https://cafe.naver.com/f-e/cafes/10197921/articles/29021377?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=7,보통 수능 한국사가 어렵나요 내신 한국사가 어렵나요중3인데 수능 한국사 공부하면서 내신 준비해볼려고요,6
지구과학 종결 모의고사,https://cafe.naver.com/f-e/cafes/10197921/articles/29021365?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=7,"모의고사의 홍수 속에서 시대인재 브릿지 벅벅, 시대인재 N전용 모의고사 벅벅. 오지모, 훈식모까지 다 풀어봤는데퀠리티 1등은 이투스 안성진 선생님꺼 모의고사임. 자료해석과 스킬, 심화개념까지 원큐에 다 알아갈 수 있음. 작년에 5등급이었는데 안성진 선생님 풀커리 타고 9모 2등급 받음. 걍 믿고 사보셈 절대 후회 안함. 올해는 같이 대학가자 ㅎ",6
미적분 학습을 위해 필요한 개념,https://cafe.naver.com/f-e/cafes/10197921/articles/29021345?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=7,"수1,수2를 제외하고 수상 수하 또는 공수1,2에서 필요한 개념들이 뭐가 있을까요?복소수파트애서는 허수는 그래프상 표현 안되는거랑 판별식이0보다 작다는건 압니다 그리고 굳아 필요없는 단원들 있을까요?이유도 설명해주시면 감사하겠습니다",6
"6,9평에 나온 ebs 연계작품 다시 나올 확률 없겠죠?",https://cafe.naver.com/f-e/cafes/10197921/articles/29021337?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=7,"고3이고 뒤늦게나마 ebs공부를 하려 하는데 6,9평에 나온 ebs 제외하고 공부해도 되겠죠?? 몇개라도 빼고 싶은 마음에..",6
지구과학,https://cafe.naver.com/f-e/cafes/10197921/articles/29021326?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=7,"이투스 안성진 선생님 강의 들어보셨어요?​고난도 기출만 따로 모아서 하나하나 분석해 주시는데,​그건 분석 수준을 넘어서 거의 ‘문제 해체’ 수준이에요.​고지자기나 연령, 그리고 별 파트는 ​예전엔 손도 못 댔었는데,​성진쌤의 ‘아스트라’ 듣고 나니까​접근법을 완전히 알아버려서 ​이제는 훨씬 수월하게 풀어요.​진짜 문제를 ‘보는 눈’ 자체가 달라졌어요.​",0
수능 수학 범위,https://cafe.naver.com/f-e/cafes/10197921/articles/29021229?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=7,이번 수능에 이런문제 나올수 있나요? 안빠졌나요??,6
신입학 vs 편입 뭐가 더 괜찮나요?,https://cafe.naver.com/f-e/cafes/10197921/articles/29021056?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=7,"제목 그대로 신입학이랑 편입학 뭐가 더 나을까요?제가 성적이 좋았으면 이런 질문을 하지 않았겠죠ㅜㅠㅠㅠ제 성적이 내신 5등급이거든요. 공부는 꾸준히 했는데 머리가 안 좋고 요령없이 공부해서시간, 노력 투자 대비 아웃풋이 안 좋은 편이에요.정시는 아예 포기했고 수시만 상향 지원해놨는데 수시, 정시 통해서 신입학 하는 것보다편입학이 저에게 더 맞는 게 아닌가 싶더라구요.​성적이 좋지 않은데 그나마 괜찮은 대학교 가고 싶은데편입 어떨까요?",6
정시 이과 5등급 미만이 지금부터 내년 수능까지 매일매일 공부만 작정하고 죽어라 하면,https://cafe.naver.com/f-e/cafes/10197921/articles/29021044?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=7,서울대 식품동물생명공학부 갈 수 있을까요? 계속 물어봐서 죄송합니다,6
대학 알라미 최신 2025년 하반기 기준 학부/과(전공) 리스트(2025.10.02.기준),https://cafe.naver.com/f-e/cafes/10197921/articles/29020988?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=7,"10월 2일자 대학알라미(정부) 자료예요! 저는 신규학과들 위주로 데이터 분석을 해봤습니다.전반적으로 ​① 첨단 기술 중심AI, 반도체, 로봇, 컴퓨터, 데이터, IoT, SW AI융합학부, 반도체공학과, 컴퓨터공학과, 지능형반도체학과, 데이터사이언스전공 등이 신설되고​② 바이오·의료·헬스케어​AI의공학과, 바이오로직스공학부, 의료공학전공, 보건환경안전학과​③ 글로벌·국제화·경영융합​국제경영학과, 글로벌비즈니스전공, 경영학부(빅데이터경영전공)​④ 융합형·미래지향형 학문 구조​융합에너지학전공, AI휴먼서비스융합전공, 자유전공학부, 미래사회혁신인재융합학부​이렇게 정리해볼 수 있겠네요.​신규학과들 관련해서 경쟁률이 이전에 없기 때문에 유망한 전공이라면 한번 지원해보시는 것도 좋아보이네요!출처: 대학알라미 첨부파일 학교별 교육편제단위 정보_20251002기준.xlsx null 파일 다운로드 내 컴퓨터 저장 네이버 MYBOX에 저장 ​",0
화학 1 3등급 받는 난도,https://cafe.naver.com/f-e/cafes/10197921/articles/29020987?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=7,원래 화학 선택만하고 최저에 안넣을려고 버리고 있었는데 과탐2 평균인 전형에선 효용 있을까 싶어서요지금부터 30회짜리 개념형 모고 12문제짜리 사서 매일 하나씩 하면 수능때 3등급 가능한가요?​화학은 원래 아예 공부 안하고 있었고 마지막으로 공부 한게 작년이에요. 고2때 내신은 2등급정도였고 모고도 고2때는 계속 2였어요고3되어서는 그냥 화학 공부는 전혀 안하고 시험장에서는 열심히 풀엇는데 3423? 이정도로 왔다갔다 하면서 떴어요.,6
화학하시는 분들…………,https://cafe.naver.com/f-e/cafes/10197921/articles/29020937?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=7,"혹시 김준 44모 풀어보셨나요... 원래 44모 어렵나요... 25분 재고 하면 항상 시간 부족한데... 그냥 해도 괜찮을까요... 쿜쿜 ㅠㅠㅠㅠㅠ 25분 다 쓰면 3페이지 1문제, 4페이지 2문제 총 3문제가 항상 남아요 그래서 나머지 3개 다 풀면 한 35분? 40분? 걸리는데 그냥 이거 해도 괜찮은 건가요?? 이게 정상인가요?? 🥵 방금 22회 풀고 왔는데 ...흥미롭네요..ㅎ 목표는 화학 2등급인데.. ㄱㅊ겠죠..?",6
진지하게 답해주세요,https://cafe.naver.com/f-e/cafes/10197921/articles/29020914?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=7,수시로 5등급대인대도 장애 전형으로 대학쓰고 삼수할때는 3월부터 대학 다니면서 공부하면서 하게 될것 같은데 하 서울대 갈 수 있을끼요?,6
